Threshold,Loss,Dice,IoU
0.1,0.3382655084133148,0.7123165130615234,0.5571306943893433
0.15,0.3382655084133148,0.7159299850463867,0.5615392923355103
0.2,0.3382655084133148,0.717661440372467,0.5636988282203674
0.25,0.3382655084133148,0.7189812064170837,0.5653225183486938
0.3,0.3382655084133148,0.719886064529419,0.5664400458335876
0.35,0.3382655084133148,0.7203452587127686,0.5670403242111206
0.4,0.3382655084133148,0.7206041812896729,0.5673975944519043
0.45,0.3382655084133148,0.7205221652984619,0.5673511028289795
0.5,0.3382655084133148,0.7204339504241943,0.5672738552093506
0.55,0.3382655084133148,0.7202775478363037,0.5671451091766357
0.6,0.3382655084133148,0.7195293307304382,0.5662726163864136
0.65,0.3382655084133148,0.7187497615814209,0.5653674602508545
0.7,0.3382655084133148,0.7175582051277161,0.5639479160308838
0.75,0.3382655084133148,0.7158044576644897,0.5618246793746948
0.8,0.3382655084133148,0.7136157155036926,0.5592635273933411
0.85,0.3382655084133148,0.7101320028305054,0.5551230907440186
0.9,0.3382655084133148,0.7028198838233948,0.5464449524879456
